program-name,optimization-name,execution-time
assoc-prop.lisp,Inlining and CSE and Peephole,726326.0999025078
assoc-prop.lisp,Inlining and Peephole,717300.1999035478
assoc-prop.lisp,No optimizations,774081.7000012612
assoc-prop.lisp,Peephole,732251.199951861
associativity_constant_folding.lisp,CSE and Peephole,709376.4997989638
associativity_constant_folding.lisp,Common subexpression elimination,715044.9997425312
associativity_constant_folding.lisp,Constant Propagation and Peephole,756162.8000985365
associativity_constant_folding.lisp,Constant propagation,736061.8001257535
associativity_constant_folding.lisp,Constant propagation and CSE,737593.099984224
associativity_constant_folding.lisp,Constant propagation and CSE and Peephole,803563.7001739815
associativity_constant_folding.lisp,Constant propagation and Inlining and CSE,711617.2000678489
associativity_constant_folding.lisp,Constant propagation and Inlining and CSE and Peephole,1177727.6999055175
associativity_constant_folding.lisp,Constant propagation and Inlining and Peephole,710227.0999894245
associativity_constant_folding.lisp,Constant propagation and inlining,735169.6000114316
associativity_constant_folding.lisp,Inlining,730088.5998120066
associativity_constant_folding.lisp,Inlining and CSE,707035.0999129005
associativity_constant_folding.lisp,Inlining and CSE and Peephole,1053273.1001148932
associativity_constant_folding.lisp,Inlining and Peephole,721179.9998913193
associativity_constant_folding.lisp,No optimizations,767427.8000195045
associativity_constant_folding.lisp,Peephole,710835.700010648
b1_for_add.lisp,CSE and Peephole,730500.4000954796
b1_for_add.lisp,Common subexpression elimination,737218.4001724236
b1_for_add.lisp,Constant Propagation and Peephole,712987.0999051491
b1_for_add.lisp,Constant propagation,715355.2000090713
b1_for_add.lisp,Constant propagation and CSE,710036.7001839913
b1_for_add.lisp,Constant propagation and CSE and Peephole,710876.2001735158
b1_for_add.lisp,Constant propagation and Inlining and CSE,736071.7001574812
b1_for_add.lisp,Constant propagation and Inlining and CSE and Peephole,709110.0000252482
b1_for_add.lisp,Constant propagation and Inlining and Peephole,707952.4002620019
b1_for_add.lisp,Constant propagation and inlining,697858.0000577495
b1_for_add.lisp,Inlining,719624.5998784434
b1_for_add.lisp,Inlining and CSE,722525.5998491775
b1_for_add.lisp,Inlining and CSE and Peephole,712131.099862745
b1_for_add.lisp,Inlining and Peephole,851655.4000379983
b1_for_add.lisp,No optimizations,731045.3998798039
b1_for_add.lisp,Peephole,708868.9999363851
b2_big_if.lisp,CSE and Peephole,711482.9000784084
b2_big_if.lisp,Common subexpression elimination,695713.999812142
b2_big_if.lisp,Constant Propagation and Peephole,694389.8999452358
b2_big_if.lisp,Constant propagation,702745.6002106192
b2_big_if.lisp,Constant propagation and CSE,700885.2000581101
b2_big_if.lisp,Constant propagation and CSE and Peephole,705030.4000586038
b2_big_if.lisp,Constant propagation and Inlining and CSE,754063.7998317834
b2_big_if.lisp,Constant propagation and Inlining and CSE and Peephole,735799.3003097363
b2_big_if.lisp,Constant propagation and Inlining and Peephole,704385.1001071744
b2_big_if.lisp,Constant propagation and inlining,712311.4999558311
b2_big_if.lisp,Inlining,704699.799825903
b2_big_if.lisp,Inlining and CSE,705215.1999232592
b2_big_if.lisp,Inlining and CSE and Peephole,756876.5999167226
b2_big_if.lisp,Inlining and Peephole,725056.2000990612
b2_big_if.lisp,No optimizations,776494.0997731173
b2_big_if.lisp,Peephole,739521.6998702381
b3_inline_prim2Add.lisp,CSE and Peephole,696051.5998798655
b3_inline_prim2Add.lisp,Common subexpression elimination,716903.4997787094
