program-name,optimization-name,execution-time,normalized-execution-time
benchmark-ex-2.lisp,Constant Propagation (1),884809.4000313722,1.1484063176891621
benchmark-ex-2.lisp,Constant Propagation and Peephole (5),699243.2999140874,0.9075575182572467
benchmark-ex-2.lisp,Constant Propagation and inlining (4),719485.9999799519,0.9338307977250071
benchmark-ex-2.lisp,Inlining (2),712471.9999410445,0.9247272303842129
benchmark-ex-2.lisp,Inlining and Peephole (6),741653.4000185493,0.9626021718199993
benchmark-ex-2.lisp,No optimizations (0),770467.1999817947,1.0
benchmark-ex-2.lisp,Peephole (3),728412.7000275475,0.9454168847742761
benchmark-ex-3.lisp,CP and Inlining and Peephole (7),687358.1000036211,0.9053932799762273
benchmark-ex-3.lisp,Constant Propagation (1),696294.9999433476,0.9171650320647031
benchmark-ex-3.lisp,Constant Propagation and Peephole (5),698289.100000693,0.9197916757188787
benchmark-ex-3.lisp,Constant Propagation and inlining (4),721208.3000013081,0.9499810190362539
benchmark-ex-3.lisp,Inlining (2),712981.9000510906,0.9391451428993691
benchmark-ex-3.lisp,Inlining and Peephole (6),688734.5999530226,0.907206416104352
benchmark-ex-3.lisp,No optimizations (0),759181.8000037165,1.0
benchmark-ex-3.lisp,Peephole (3),741383.5999614093,0.9765560764994367
benchmark-fold.lisp,CP and Inlining and Peephole (7),693717.9000487959,0.9416285450511659
benchmark-fold.lisp,Constant Propagation (1),691808.699957619,0.93903706326305
benchmark-fold.lisp,Constant Propagation and Peephole (5),747628.4999938798,1.014804918019997
benchmark-fold.lisp,Constant Propagation and inlining (4),702518.1000244629,0.9535736303641783
benchmark-fold.lisp,Inlining (2),685130.9000012407,0.9299728499039527
benchmark-fold.lisp,Inlining and Peephole (6),699881.499986077,0.9499948011918987
benchmark-fold.lisp,No optimizations (0),736721.400062379,1.0
benchmark-fold.lisp,Peephole (3),681309.9000282818,0.924786357462393
benchmark-inline.lisp,CP and Inlining and Peephole (7),690304.5999933966,0.9318907549392037
benchmark-inline.lisp,Constant Propagation (1),730266.800019308,0.9858385408174005
benchmark-inline.lisp,Constant Propagation and Peephole (5),738219.9999483419,0.9965751250529984
benchmark-inline.lisp,Constant Propagation and inlining (4),725407.0999806572,0.9792780897674732
benchmark-inline.lisp,Inlining (2),699915.4999903112,0.9448651851456019
benchmark-inline.lisp,Inlining and Peephole (6),723801.0999571998,0.9771100373246726
benchmark-inline.lisp,No optimizations (0),740757.0000395935,1.0
benchmark-inline.lisp,Peephole (3),702187.8000159631,0.9479327228476155
benchmark_test1.lisp,CP and Inlining and Peephole (7),964208.1000492908,1.3453675417641493
benchmark_test1.lisp,Constant Propagation (1),701366.5000158653,0.9786224819661158
benchmark_test1.lisp,Constant Propagation and Peephole (5),806610.6000114814,1.1254704456878935
benchmark_test1.lisp,Constant Propagation and inlining (4),677417.6000362786,0.9452063836240204
benchmark_test1.lisp,Inlining (2),681091.4000197954,0.9503324671453106
benchmark_test1.lisp,Inlining and Peephole (6),1530328.4000765416,2.1352798815915266
benchmark_test1.lisp,No optimizations (0),716687.4999711581,1.0
benchmark_test1.lisp,Peephole (3),693593.6999980186,0.9677770297736895
benchmark_test2.lisp,CP and Inlining and Peephole (7),693160.9000275785,0.8352402837518261
benchmark_test2.lisp,Constant Propagation (1),706704.4999530481,0.8515599582232517
benchmark_test2.lisp,Constant Propagation and Peephole (5),679738.8999984832,0.8190671338924321
benchmark_test2.lisp,Constant Propagation and inlining (4),677163.9999897161,0.8159644484785986
benchmark_test2.lisp,Inlining (2),684929.5000392885,0.8253216676532832
benchmark_test2.lisp,Inlining and Peephole (6),684952.599931421,0.8253495024034236
benchmark_test2.lisp,No optimizations (0),829893.9999804134,1.0
benchmark_test2.lisp,Peephole (3),682119.3000178027,0.8219354520383346
benchmark_test3.lisp,CP and Inlining and Peephole (7),673003.3000167168,0.8849222738907865
benchmark_test3.lisp,Constant Propagation (1),695376.1000659142,0.9143399440453724
benchmark_test3.lisp,Constant Propagation and Peephole (5),683117.1999692742,0.8982208941853655
benchmark_test3.lisp,Constant Propagation and inlining (4),690547.4000632239,0.9079907564764392
benchmark_test3.lisp,Inlining (2),695810.9000152035,0.9149116561897306
benchmark_test3.lisp,Inlining and Peephole (6),678670.8999243274,0.8923745187722326
benchmark_test3.lisp,No optimizations (0),760522.4999679194,1.0
benchmark_test3.lisp,Peephole (3),696609.3000301044,0.9159614607845119
big-list-inline.lisp,CP and Inlining and Peephole (7),973481.9999721368,0.8847896261465092
big-list-inline.lisp,Constant Propagation (1),1011874.6999978612,0.9196844292383878
big-list-inline.lisp,Constant Propagation and Peephole (5),998031.8999623704,0.9071028243719667
big-list-inline.lisp,Constant Propagation and inlining (4),984570.4999861482,0.8948678708209907
big-list-inline.lisp,Inlining (2),1025493.799988908,0.9320627150103642
big-list-inline.lisp,Inlining and Peephole (6),986822.39995469,0.8969146038179464
big-list-inline.lisp,No optimizations (0),1100241.1999470496,1.0
